データコード,FM08'FXERM07,FM09'FX180110002
系列名称,"東京市場　ドル・円　スポット　17時時点/月中平均","実質実効為替レート指数"
1970/01,      ,58.29
1970/02,      ,58.14
1970/03,      ,58.33
1970/04,      ,58.37
1970/05,      ,57.8
1970/06,      ,57.7
1970/07,      ,57.31
1970/08,      ,57.04
1970/09,      ,57.76
1970/10,      ,58.43
1970/11,      ,58.32
1970/12,      ,58.38
1971/01,      ,58.31
1971/02,      ,58.17
1971/03,      ,58.11
1971/04,      ,58.7
1971/05,      ,58.6
1971/06,      ,58.56
1971/07,      ,58.77
1971/08,      ,58.48
1971/09,      ,62.52
1971/10,      ,63.66
1971/11,      ,63.41
1971/12,      ,64.27
1972/01,      ,65.09
1972/02,      ,66.32
1972/03,      ,67.1
1972/04,      ,67.56
1972/05,      ,67.28
1972/06,      ,67.72
1972/07,      ,67.99
1972/08,      ,67.82
1972/09,      ,67.97
1972/10,      ,68.51
1972/11,      ,68.58
1972/12,      ,68.59
1973/01,301.93,68.92
1973/02,279.48,73.02
1973/03,265.26,77.46
1973/04,265.52,77.15
1973/05,264.73,77.62
1973/06,264.7 ,76.01
1973/07,264.41,74.79
1973/08,265.11,75.06
1973/09,265.49,76.55
1973/10,266.32,75.32
1973/11,277.05,73.16
1973/12,280   ,75.29
1974/01,298.64,73.78
1974/02,291.24,75.28
1974/03,282.58,76.26
1974/04,277.78,78.27
1974/05,278.93,77.06
1974/06,283.05,76.28
1974/07,290.91,74.91
1974/08,302.22,72.39
1974/09,299.63,73.44
1974/10,299.48,74.22
1974/11,300.1 ,73.34
1974/12,300.44,73.47
1975/01,299.64,73.26
1975/02,292.17,74.13
1975/03,288.03,75.12
1975/04,292.12,75.18
1975/05,291.47,74.85
1975/06,293.57,73.87
1975/07,296.22,74.11
1975/08,297.93,74.27
1975/09,299.68,75.29
1975/10,302.38,75.09
1975/11,302.53,74.24
1975/12,305.7 ,73.54
1976/01,304.66,74.67
1976/02,301.9 ,75.56
1976/03,300.6 ,76.22
1976/04,299.1 ,78.27
1976/05,299.06,78.34
1976/06,299.4 ,78.34
1976/07,294.77,79.43
1976/08,290.77,79.48
1976/09,287.58,82.17
1976/10,290.99,81.34
1976/11,295.09,79.92
1976/12,294.65,80.35
1977/01,290.94,81.26
1977/02,285.22,82.69
1977/03,280.41,83.84
1977/04,275.14,86.02
1977/05,277.53,85.56
1977/06,272.97,85.78
1977/07,264.9 ,87.1
1977/08,266.63,86.06
1977/09,266.95,87.17
1977/10,255.32,91.25
1977/11,244.7 ,93.26
1977/12,241.28,92.98
1978/01,241.21,91.75
1978/02,240.31,91.47
1978/03,231.42,94.76
1978/04,221.61,99.62
1978/05,226.34,98.32
1978/06,214.38,101.86
1978/07,199.95,107.52
1978/08,188.5 ,112.35
1978/09,190.16,111.62
1978/10,183.95,112.97
1978/11,191.33,107.95
1978/12,196.12,104.84
1979/01,197.78,102.8
1979/02,200.53,100.04
1979/03,206.21,96.97
1979/04,215.83,93.07
1979/05,218.14,92.18
1979/06,218.85,90.8
1979/07,216.44,90.21
